,,,,,,,
"The Nordic List",,,,,,,
"Companies 2008-07-18",,,,,,,
" ",,,,,,,
,Currency,Exchange,,,"Short Name",ISIN,
,,,,,,,
"Autoliv Inc. SDB",SEK,STO,LARGE,"Consumer Discretionary","ALIV SDB",SE0000382335,
"Electrolux, AB ser. A",SEK,STO,LARGE,"Consumer Discretionary","ELUX A",SE0000103806,
"Electrolux, AB ser. B",SEK,STO,LARGE,"Consumer Discretionary","ELUX B",SE0000103814,
"Fiskars Oyj A",EUR,HEL,LARGE,"Consumer Discretionary",FISAS,FI0009000400,
"Fiskars Oyj K",EUR,HEL,LARGE,"Consumer Discretionary",FISKS,FI0009000426,
"Hennes & Mauritz AB, H & M ser. B",SEK,STO,LARGE,"Consumer Discretionary","HM B",SE0000106270,
"Husqvarna AB ser. A",SEK,STO,LARGE,"Consumer Discretionary","HUSQ A",SE0001662222,
"Husqvarna AB ser. B",SEK,STO,LARGE,"Consumer Discretionary","HUSQ B",SE0001662230,
"Modern Times Group MTG AB ser. A",SEK,STO,LARGE,"Consumer Discretionary","MTG A",SE0000412363,
"Modern Times Group MTG AB ser. B",SEK,STO,LARGE,"Consumer Discretionary","MTG B",SE0000412371,
"Nokian Renkaat Oyj",EUR,HEL,LARGE,"Consumer Discretionary",NRE1V,FI0009005318,
"SanomaWSOY Oyj",EUR,HEL,LARGE,"Consumer Discretionary",SWS1V,FI0009007694,
"Securitas Direct AB ser. B",SEK,STO,LARGE,"Consumer Discretionary","SDIR B",SE0001789306,
"Stockmann Oyj Abp A",EUR,HEL,LARGE,"Consumer Discretionary",STCAS,FI0009000236,
"Stockmann Oyj Abp B",EUR,HEL,LARGE,"Consumer Discretionary",STCBV,FI0009000251,
"Axfood AB",SEK,STO,LARGE,"Consumer Staples",AXFO,SE0000635401,
"Carlsberg A/S A",DKK,CSE,LARGE,"Consumer Staples","CARL A",DK0010181676,
"Carlsberg A/S B",DKK,CSE,LARGE,"Consumer Staples","CARL B",DK0010181759,
Danisco,DKK,CSE,LARGE,"Consumer Staples",DCO,DK0010207497,
"Kesko Oyj A",EUR,HEL,LARGE,"Consumer Staples",KESAV,FI0009007900,
"Kesko Oyj B",EUR,HEL,LARGE,"Consumer Staples",KESBV,FI0009000202,
"Oriflame Cosmetics S.A, SDB",SEK,STO,LARGE,"Consumer Staples","ORI SDB",SE0001174889,
"Swedish Match AB",SEK,STO,LARGE,"Consumer Staples",SWMA,SE0000310336,
"D/S Torm",DKK,CSE,LARGE,Energy,TORM,DK0060082915,
"Lundin Petroleum AB",SEK,STO,LARGE,Energy,LUPE,SE0000825820,
"Neste Oil Oyj",EUR,HEL,LARGE,Energy,NES1V,FI0009013296,
"PA Resources",SEK,STO,LARGE,Energy,"PAR SEK",SE0000818569,
"West Siberian Resources Ltd. SDB",SEK,STO,LARGE,Energy,"WSIB SDB",SE0000739286,
"Vostok Gas Ltd. SDB",SEK,STO,LARGE,Energy,"VGAS SDB",SE0000367823,
"Castellum AB",SEK,STO,LARGE,Financials,CAST,SE0000379190,
